"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5384",5384,AUDI A6 allroad 3.0 TDI V6 quattro S-tronic,32500,12.2018,95'000,190,Automatikgetriebe,Diesel,9410 Heiden,2023-11-22,AUDI ,A6 ,A6 allroad ,,FALSE
"5385",5385,DACIA Sandero Stepway TCe 90 Comfort,14500,06.2021,41'000,91,Handschaltung,Benzin,1010 lausanne,2023-11-22,DACIA ,Sandero ,Sandero Stepway ,,FALSE
"5386",5386,SKODA Octavia Combi 1.8 TSI Arosa 4x4,8300,06.2012,134'000,160,Handschaltung,Benzin,6023 Rothenburg,2023-11-22,SKODA ,Octavia ,Octavia Combi ,,FALSE
"5387",5387,VOLVO XC60 D3 Kinetic Geartronic,14500,11.2015,242'000,150,Automatikgetriebe,Diesel,9532 Rickenbach bei Wil,2023-11-22,VOLVO ,XC60 ,XC60 D3 ,,FALSE
"5388",5388,TRIUMPH Spitfire MK III,19500,09.1968,64'500,76,Handschaltung,Benzin,1616 Attalens,2023-11-22,TRIUMPH ,Spitfire ,Spitfire MK ,,FALSE
"5389",5389,BMW 750i xDrive Steptronic,53500,07.2019,87'000,530,Automatikgetriebe,Benzin,6074 Giswil,2023-11-22,BMW ,750i ,750i xDrive ,,FALSE
"5390",5390,SKODA Karoq 2.0 TSI SportLine 4x4 DSG,32500,06.2020,52'000,260,Automatikgetriebe,Benzin,8424 embrach,2023-11-22,SKODA ,Karoq ,Karoq 2.0 ,,FALSE
"5391",5391,MERCEDES-BENZ GLE Coupé 450 AMG 4Matic 9G-Tronic,49900,04.2016,54'000,367,Automatikgetriebe,Benzin,1535 Combremont le Grand,2023-11-22,MERCEDES-BENZ ,GLE ,GLE Coupé ,,FALSE
"5392",5392,TESLA Model 3 Long Range Dual Motor AWD,32900,04.2019,29'660,462,Automatikgetriebe,Elektro,1208 Genève,2023-11-22,TESLA ,Model ,Model 3 ,,FALSE
"5393",5393,FIAT 595 1.4 16V Turbo Abarth Comp 110° Anniv. Duologic,21500,07.2019,66'000,180,Automatikgetriebe,Benzin,5000 Aarau,2023-11-22,FIAT ,595 ,595 1.4 ,,FALSE
"5394",5394,KIA EV6 77 kWh GT 4x4,65990,Neues Fahrzeug,5,585,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,KIA ,EV6 ,EV6 77 ,,FALSE
