"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"1",1,PORSCHE Cayenne Turbo S,69800,05.2016,46'300,570,Automatikgetriebe,Benzin,8730 Uznach SG,2023-11-22,PORSCHE ,Cayenne ,Cayenne Turbo ,,FALSE
"2",2,BMW 430i xDrive Cabriolet M Sport Steptronic,62800,03.2022,5'000,245,Automatikgetriebe,Benzin,8730 Uznach SG,2023-11-22,BMW ,430i ,430i xDrive ,,FALSE
"3",3,MINI Cooper S Cabriolet DKG,23800,03.2019,68'000,192,Automatikgetriebe,Benzin,8730 Uznach SG,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
"4",4,SUBARU Forester 2.0i e-Boxer Luxury Lineartronic,37900,12.2019,8'000,150,Automatikgetriebe,Hybrid,6343 Rotkreuz,2023-11-22,SUBARU ,Forester ,Forester 2.0i ,,FALSE
"5",5,PORSCHE Cayenne GTS,72900,03.2016,62'000,440,Automatikgetriebe,Benzin,5035 Unterentfelden,2023-11-22,PORSCHE ,Cayenne ,Cayenne ,,FALSE
"6",6,PEUGEOT 807 2.0 16V HDi Allure Tiptronic,8500,02.2012,115'089,163,Automatikgetriebe,Diesel,6403 Küssnacht am Rigi,2023-11-22,PEUGEOT ,807 ,807 2.0 ,,FALSE
"7",7,AUDI S3 Limousine 2.0 TFSI quattro S-tronic,31900,08.2019,103'208,301,Automatikgetriebe,Benzin,6403 Küssnacht am Rigi,2023-11-22,AUDI ,S3 ,S3 Limousine ,,FALSE
"8",8,PEUGEOT 206 2.0 16V RC,35000,06.2005,50,227,Handschaltung,Benzin,8308 Illnau,2023-11-22,PEUGEOT ,206 ,206 2.0 ,,FALSE
"9",9,MERCEDES-BENZ E 220 d Avantgarde 9G-Tronic,33900,05.2017,42'433,194,Automatikgetriebe,Diesel,8604 Volketswil / Zürich,2023-11-22,MERCEDES-BENZ ,E ,E 220 ,,FALSE
"10",10,MERCEDES-BENZ E 250 7G-Tronic,22900,08.2013,147'641,211,Automatikgetriebe,Benzin,8309 Nürensdorf / Zürich,2023-11-22,MERCEDES-BENZ ,E ,E 250 ,,FALSE
"11",11,AUDI A5 Sportback 45 TFSI S Line quattro S-Tronic,39890,02.2021,72'700,265,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,A5 ,A5 Sportback ,,FALSE
"12",12,AUDI S5 Sportback 3.0 V6 TDI quattro T-Tronic,70980,12.2022,11'900,341,Automatikgetriebe,Diesel,9542 Münchwilen,2023-11-22,AUDI ,S5 ,S5 Sportback ,,FALSE
"13",13,AUDI Q8 e-tron 55 S Line quattro,79900,02.2023,1'500,408,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,Q8 ,Q8 e-tron ,,FALSE
"14",14,AUDI S5 Cabriolet 3.0 V6 TFSI quattro T-Tronic,70980,03.2022,9'300,354,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,S5 ,S5 Cabriolet ,,FALSE
"15",15,SUZUKI SWIFT 1.2 Piz Sulai Top Hybrid 4x4,24990,Vorführmodell,3'200,83,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,SUZUKI ,SWIFT ,SWIFT 1.2 ,,FALSE
"16",16,AUDI S3 Limousine 2.0 TFSI quattro S-Tronic,42980,02.2023,9'300,310,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,S3 ,S3 Limousine ,,FALSE
"17",17,SEAT ATECA 2.0 TSI DSG FR 4Drive,39780,10.2022,15'800,190,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,SEAT ,ATECA ,ATECA 2.0 ,,FALSE
"18",18,CITROEN C4 Swiss Edition,29990,Vorführmodell,5'500,136,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,CITROEN ,C4 ,C4 Swiss ,,FALSE
"19",19,TOYOTA AYGO X 1.0 VVT-i Comfort,16990,Tageszulassung,50,72,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,TOYOTA ,AYGO ,AYGO X ,,FALSE
"20",20,KIA NIRO e-Style,35890,07.2021,35'300,204,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,KIA ,NIRO ,NIRO ,,FALSE
"21",21,VW Tiguan 2.0 TDI SCR Highline 4Motion DSG,19900,09.2016,173'501,190,Automatikgetriebe,Diesel,8309 Nürensdorf / Zürich,2023-11-22,VW ,Tiguan ,Tiguan 2.0 ,,FALSE
"22",22,MERCEDES-BENZ GLE 350 d Executive 4Matic 9G-Tronic,45500,05.2017,75'500,258,Automatikgetriebe,Diesel,5070 Frick,2023-11-22,MERCEDES-BENZ ,GLE ,GLE 350 ,,FALSE
"23",23,FIAT 500 Cabrio Elektro ICON *Black Friday*,26990,Neues Fahrzeug,20,119,Automatikgetriebe,Elektro,9642 Ebnat-Kappel SG,2023-11-22,FIAT ,500 ,500 Cabrio ,,FALSE
"24",24,FIAT 500 by Bocelli TOP *Black Friday*,29800,Neues Fahrzeug,20,119,Automatikgetriebe,Elektro,9642 Ebnat-Kappel SG,2023-11-22,FIAT ,500 ,500 by ,,FALSE
"25",25,FIAT 500 Cabrio La Prima by Bocelli *Black Friday*,30800,Neues Fahrzeug,20,119,Automatikgetriebe,Elektro,9642 Ebnat-Kappel SG,2023-11-22,FIAT ,500 ,500 Cabrio ,,FALSE
"26",26,MERCEDES-BENZ EQS SUV 580 4Matic,143000,12.2022,17'000,544,Automatikgetriebe,Elektro,5070 Frick,2023-11-22,MERCEDES-BENZ ,EQS ,EQS SUV ,,FALSE
"27",27,BMW M2 Drivelogic,33990,06.2016,133'750,370,Automatikgetriebe,Benzin,4107 Ettingen,2023-11-22,BMW ,M2 ,M2 ,,FALSE
"28",28,SEAT Tarraco 2.0TSI FR 4Drive DSG,39990,10.2020,24'500,190,Automatikgetriebe,Benzin,4107 Ettingen,2023-11-22,SEAT ,Tarraco ,Tarraco 2.0TSI ,,FALSE
"29",29,AUDI RS6 Avant 4.0 TFSI V8 Performance quattro,152800,06.2023,5'600,630,Automatikgetriebe,Benzin,8302 Kloten,2023-11-22,AUDI ,RS6 ,RS6 Avant ,,FALSE
"30",30,PORSCHE 911 Cabrio Carrera PDK,99990,10.2018,34'000,370,Automatikgetriebe,Benzin,4107 Ettingen,2023-11-22,PORSCHE ,911 ,911 Cabrio ,,FALSE
"31",31,SUZUKI SWIFT 1.2 Compact Top Hybrid 4x4,22990,Vorführmodell,1'550,83,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,SUZUKI ,SWIFT ,SWIFT 1.2 ,,FALSE
"32",32,HYUNDAI IONIQ Electric Vertex,22890,03.2019,27'500,120,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,HYUNDAI ,IONIQ ,IONIQ Electric ,,FALSE
"33",33,AUDI Q8 55 TFSI S line quattro T-Tronic,85980,07.2022,16'200,340,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,Q8 ,Q8 55 ,,FALSE
"34",34,AUDI SQ7 4.0 V8 TFSI quattro T-Tronic,93980,08.2022,12'900,507,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,SQ7 ,SQ7 4.0 ,,FALSE
"35",35,AUDI SQ7 4.0 V8 TFSI quattro T-Tronic,97980,09.2022,17'900,507,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,SQ7 ,SQ7 4.0 ,,FALSE
"36",36,AUDI e-tron GT quattro,94980,02.2022,3'700,530,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,e-tron ,e-tron GT ,,FALSE
"37",37,AUDI A3 Sportback 40 TFSI S Line quattro S-Tronic,41780,03.2022,9'900,190,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,A3 ,A3 Sportback ,,FALSE
"38",38,TOYOTA COROLLA Touring Sports 2.0 HSD GR-S,39999,Vorführmodell,14'000,184,Automatikgetriebe,Hybrid,9542 Münchwilen,2023-11-22,TOYOTA ,COROLLA ,COROLLA Touring ,,FALSE
"39",39,TOYOTA YARIS CROSS Cross 1.5 VVT-iE Trend,24490,12.2021,21'600,125,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,TOYOTA ,YARIS ,YARIS CROSS ,,FALSE
"40",40,TOYOTA YARIS 1.5 VVT-iE Trend,20490,01.2023,21'000,125,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,TOYOTA ,YARIS ,YARIS 1.5 ,,FALSE
"41",41,MERCEDES-BENZ GLE 350 d 4Matic AMG Line 9G-Tronic,72990,04.2021,40'500,272,Automatikgetriebe,Diesel,4107 Ettingen,2023-11-22,MERCEDES-BENZ ,GLE ,GLE 350 ,,FALSE
"42",42,BMW X3 xDrive 25d Individual M Sport Steptronic,38990,06.2019,51'000,211,Automatikgetriebe,Diesel,4107 Ettingen,2023-11-22,BMW ,X3 ,X3 xDrive ,,FALSE
"43",43,AUDI Q2 35 TFSI S line S-tronic,34990,01.2023,10'000,150,Automatikgetriebe,Benzin,4107 Ettingen,2023-11-22,AUDI ,Q2 ,Q2 35 ,,FALSE
"44",44,SKODA Octavia Combi 2.0 TDI DSG Style,36666,09.2023,18,150,Automatikgetriebe,Diesel,8872 Weesen,2023-11-22,SKODA ,Octavia ,Octavia Combi ,,FALSE
"45",45,RENAULT Clio 1.0 Zen,14750,08.2020,47'000,101,Handschaltung,Benzin,4950 Huttwil,2023-11-22,RENAULT ,Clio ,Clio 1.0 ,,FALSE
"46",46,VOLVO XC60 T6 eAWD PluginHybrid Ultimate Dark Geartronic,68490,Neues Fahrzeug,7,398,Automatikgetriebe,Hybrid,1197 Prangins (Nyon),2023-11-22,VOLVO ,XC60 ,XC60 T6 ,,FALSE
"47",47,VW Golf 2.0 TDI Active DSG *MONDSTEIN/5JAHRE*,29890,10.2022,9'950,150,Automatikgetriebe,Diesel,8370 Sirnach,2023-11-22,VW ,Golf ,Golf 2.0 ,,FALSE
"48",48,PORSCHE Macan S PDK,59800,08.2019,47'000,354,Automatikgetriebe,Benzin,1131 Tolochenaz / Morges,2023-11-22,PORSCHE ,Macan ,Macan S ,,FALSE
"49",49,VW T7 Multivan 1.4 eHybrid Plug-in,59800,08.2022,22'000,217,Automatikgetriebe,Hybrid,1131 Tolochenaz / Morges,2023-11-22,VW ,T7 ,T7 Multivan ,,FALSE
"50",50,OPEL Corsa 1.2 TP GS-Line,20900,02.2020,13'600,130,Automatikgetriebe,Benzin,4950 Huttwil,2023-11-22,OPEL ,Corsa ,Corsa 1.2 ,,FALSE
"51",51,AUDI Q8 e-tron Sportback 55 S Line quattro,83780,01.2023,99,408,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,Q8 ,Q8 e-tron ,,FALSE
"52",52,LEXUS RX 450h+ excellence AWD,105650,Neues Fahrzeug,500,309,Automatikgetriebe,Hybrid,6340 Baar,2023-11-22,LEXUS ,RX ,RX 450h+ ,,FALSE
"53",53,LEXUS RX 450h+ comfort AWD,98090,Neues Fahrzeug,28,309,Automatikgetriebe,Hybrid,6403 Küssnacht am Rigi,2023-11-22,LEXUS ,RX ,RX 450h+ ,,FALSE
"54",54,AUDI A6 40 TDI quattro S-Tronic,41490,08.2020,52'100,204,Automatikgetriebe,Diesel,9542 Münchwilen,2023-11-22,AUDI ,A6 ,A6 40 ,,FALSE
"55",55,VW TIGUAN 2.0 TSI DSG R Black Style ''Akrapovic'',49890,05.2021,58'600,320,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,VW ,TIGUAN ,TIGUAN 2.0 ,,FALSE
"56",56,FORD PUMA 1.0 EcoB Hybrid 155 ST-Line X,31059,Neues Fahrzeug,8,155,Automatikgetriebe,Benzin,3930 Visp,2023-11-22,FORD ,PUMA ,PUMA 1.0 ,,FALSE
"57",57,JEEP Compass 1.3 Limited 4xe,40900,11.2022,50'900,241,Automatikgetriebe,Hybrid,9015 St. Gallen,2023-11-22,JEEP ,Compass ,Compass 1.3 ,,FALSE
"58",58,AUDI A4 45 TFSI S Line quattro S-Tronic,49900,11.2022,200,265,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,A4 ,A4 45 ,,FALSE
"59",59,AUDI e-tron 55 S Line quattro,62890,05.2020,52'600,408,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,e-tron ,e-tron 55 ,,FALSE
"60",60,BMW 114i Business,8990,12.2014,169'500,102,Handschaltung,Benzin,8108 Dällikon/ZH,2023-11-22,BMW ,114i ,114i ,,FALSE
"61",61,BMW i5 M60 xDrive M Sport Pro,120000,Neues Fahrzeug,100,601,Automatikgetriebe,Elektro,6341 Baar,2023-11-22,BMW ,i5 ,i5 M60 ,,FALSE
"62",62,BMW i5 M60 xDrive M Sport Pro,120700,Neues Fahrzeug,100,601,Automatikgetriebe,Elektro,6341 Baar,2023-11-22,BMW ,i5 ,i5 M60 ,,FALSE
"63",63,JEEP Wrangler 3.6 Unlimited Sahara Automatic hardtop,35900,12.2014,22'000,284,Automatikgetriebe,Benzin,1276 Gingins (Nyon) VD ,2023-11-22,JEEP ,Wrangler ,Wrangler 3.6 ,,FALSE
"64",64,BMW 223i Active Tourer xDrive M Sport DKG,59300,Neues Fahrzeug,10,204,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,BMW ,223i ,223i Active ,,FALSE
"65",65,BMW 220i Active Tourer Luxury Line DKG,51900,Neues Fahrzeug,10,156,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,BMW ,220i ,220i Active ,,FALSE
"66",66,BMW i5 M60 xDrive,123300,Neues Fahrzeug,10,601,Automatikgetriebe,Elektro,8157 Dielsdorf,2023-11-22,BMW ,i5 ,i5 M60 ,,FALSE
"67",67,BMW i5 M60 xDrive,134190,Neues Fahrzeug,10,601,Automatikgetriebe,Elektro,8157 Dielsdorf,2023-11-22,BMW ,i5 ,i5 M60 ,,FALSE
"68",68,BMW 223i Active Tourer xDrive M Sport DKG,65430,Neues Fahrzeug,10,204,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,BMW ,223i ,223i Active ,,FALSE
"69",69,BMW M2 Steptronic,89670,10.2023,10,460,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,BMW ,M2 ,M2 ,,FALSE
"70",70,BMW X7 40d xDrive M Sport,87980,05.2022,29'500,351,Automatikgetriebe,Diesel,9542 Münchwilen,2023-11-22,BMW ,X7 ,X7 40d ,,FALSE
"71",71,AUDI e-tron Sportback 55 S Line quattro,64980,04.2021,31'900,408,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,e-tron ,e-tron Sportback ,,FALSE
"72",72,AUDI e-tron Sportback 55 S Line quattro,66980,04.2021,13'700,408,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,e-tron ,e-tron Sportback ,,FALSE
"73",73,SUZUKI SWIFT 1.2 Compact Top Hybrid,22680,Neues Fahrzeug,8,83,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,SUZUKI ,SWIFT ,SWIFT 1.2 ,,FALSE
"74",74,FORD Puma 1.0 EcoB Hybrid 125 ST-Line X,33060,Neues Fahrzeug,8,125,Automatikgetriebe,Benzin,3930 Visp,2023-11-22,FORD ,Puma ,Puma 1.0 ,,FALSE
"75",75,KIA SORENTO 2.2 CRDI Style 4WD 7P,47890,12.2020,56'400,201,Automatikgetriebe,Diesel,9542 Münchwilen,2023-11-22,KIA ,SORENTO ,SORENTO 2.2 ,,FALSE
"76",76,TOYOTA C-HR 2.0 HEV GR Sport Premiere 4x4,52690,Neues Fahrzeug,8,199,Automatikgetriebe,Hybrid,9542 Münchwilen,2023-11-22,TOYOTA ,C-HR ,C-HR 2.0 ,,FALSE
"77",77,AUDI A8 55 TFSI S line quattro T-Tronic,71980,08.2022,31'600,340,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,A8 ,A8 55 ,,FALSE
"78",78,NISSAN Qashqai 1.7 dCi Tekna 4x4,23800,09.2019,39'500,150,Automatikgetriebe,Diesel,3930 Visp,2023-11-22,NISSAN ,Qashqai ,Qashqai 1.7 ,,FALSE
"79",79,BMW 520d xDrive 48V Touring Steptronic,84680,Neues Fahrzeug,10,190,Automatikgetriebe,Diesel,8157 Dielsdorf,2023-11-22,BMW ,520d ,520d xDrive ,,FALSE
"80",80,BMW iX3 Impressive,75845,Neues Fahrzeug,10,286,Automatikgetriebe,Elektro,8157 Dielsdorf,2023-11-22,BMW ,iX3 ,iX3 ,,FALSE
"81",81,BMW iX3 Impressive,81370,Neues Fahrzeug,10,286,Automatikgetriebe,Elektro,8157 Dielsdorf,2023-11-22,BMW ,iX3 ,iX3 ,,FALSE
"82",82,BMW X5 xDrive 48V 40d M Sport Pro Steptronic,133290,Neues Fahrzeug,10,340,Automatikgetriebe,Diesel,8157 Dielsdorf,2023-11-22,BMW ,X5 ,X5 xDrive ,,FALSE
"83",83,AUDI A4 Avant 40 TDI S line quattro S-tronic,37880,09.2020,41'500,190,Automatikgetriebe,Diesel,8105 Regensdorf,2023-11-22,AUDI ,A4 ,A4 Avant ,,FALSE
"84",84,MINI Cooper SE Multitone Edition,41900,Neues Fahrzeug,10,184,,Elektro,8157 Dielsdorf,2023-11-22,MINI ,Cooper ,Cooper SE ,,FALSE
"85",85,BMW iX M60,144000,Neues Fahrzeug,10,598,,Elektro,8157 Dielsdorf,2023-11-22,BMW ,iX ,iX ,,FALSE
"86",86,BMW M4 Coupé,144000,Neues Fahrzeug,10,480,Handschaltung,Benzin,8157 Dielsdorf,2023-11-22,BMW ,M4 ,M4 ,,FALSE
"87",87,DODGE Challenger SRT HELLCAT WIDEBODY,118900,Tageszulassung,150,717,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,DODGE ,Challenger ,Challenger SRT ,,FALSE
"88",88,BMW 530e xDrive Touring Pure M Sport Steptronic,87300,Neues Fahrzeug,10,183,Automatikgetriebe,Hybrid,8157 Dielsdorf,2023-11-22,BMW ,530e ,530e xDrive ,,FALSE
"89",89,SUBARU XV 2.0i e-Boxer Swiss Plus 4x4 Hybrid,29800,02.2022,15'400,150,Automatikgetriebe,Hybrid,3930 Visp,2023-11-22,SUBARU ,XV ,XV 2.0i ,,FALSE
"90",90,SUBARU XV 2.0i e-Boxer Swiss Plus 4x4 Hybrid,27800,03.2022,78'000,150,Automatikgetriebe,Hybrid,3930 Visp,2023-11-22,SUBARU ,XV ,XV 2.0i ,,FALSE
"91",91,SUBARU XV 2.0i Swiss 4x4,22800,12.2018,49'900,156,Automatikgetriebe,Benzin,3930 Visp,2023-11-22,SUBARU ,XV ,XV 2.0i ,,FALSE
"92",92,HYUNDAI TUCSON 1.6 T-GDi N-Line 4WD,29890,12.2019,23'100,177,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,HYUNDAI ,TUCSON ,TUCSON 1.6 ,,FALSE
"93",93,"AUDI Q4 e-tron 50 quattro S line ""edition one""",58980,07.2022,300,300,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,Q4 ,Q4 e-tron ,,FALSE
"94",94,SUZUKI VITARA 1.4 T Compact+ Hybrid 4x4,21890,10.2020,41'000,129,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,SUZUKI ,VITARA ,VITARA 1.4 ,,FALSE
"95",95,CITROEN BERLINGO Elektro - Feel Size M,35490,Tageszulassung,50,136,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,CITROEN ,BERLINGO ,BERLINGO Elektro ,,FALSE
"96",96,TOYOTA YARIS 1.5 VVT-i HSD Comfort,24900,Tageszulassung,50,116,Automatikgetriebe,Hybrid,9542 Münchwilen,2023-11-22,TOYOTA ,YARIS ,YARIS 1.5 ,,FALSE
"97",97,TOYOTA YARIS CROSS Cross 1.5 VVT-i HSD Trend AWD-i,34990,Tageszulassung,50,116,Automatikgetriebe,Hybrid,9542 Münchwilen,2023-11-22,TOYOTA ,YARIS ,YARIS CROSS ,,FALSE
"98",98,MAZDA CX-5 2.5 Advantage AWD,38900,Neues Fahrzeug,8,194,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,MAZDA ,CX-5 ,CX-5 2.5 ,,FALSE
"99",99,BMW 530e xDrive Touring Pure M Sport Steptronic,91900,Vorführmodell,10,183,Automatikgetriebe,Hybrid,8157 Dielsdorf,2023-11-22,BMW ,530e ,530e xDrive ,,FALSE
"100",100,BMW 430d xDrive 48V Coupé M Sport Steptronic,83400,Neues Fahrzeug,10,286,Automatikgetriebe,Diesel,8157 Dielsdorf,2023-11-22,BMW ,430d ,430d xDrive ,,FALSE
"101",101,BMW X2 M35i Steptronic,67855,Neues Fahrzeug,10,306,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,BMW ,X2 ,X2 M35i ,,FALSE
"102",102,MINI Cooper S Steptronic DKG,40300,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,8157 Dielsdorf,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
"103",103,MERCEDES-BENZ GLC 200 AMG Line 4Matic 9G-Tronic,48800,04.2021,34'800,197,Automatikgetriebe,Benzin,8105 Regensdorf,2023-11-22,MERCEDES-BENZ ,GLC ,GLC 200 ,,FALSE
"104",104,BMW 223i Active Tourer xDrive M Sport DKG,64500,Neues Fahrzeug,10,204,Automatikgetriebe,Benzin,8048 Zürich,2023-11-22,BMW ,223i ,223i Active ,,FALSE
"105",105,HONDA Jazz 1.4i ES,5990,03.2004,42'000,83,Automatikgetriebe,Benzin,6850 Mendrisio,2023-11-22,HONDA ,Jazz ,Jazz 1.4i ,,FALSE
"106",106,POLESTAR Polestar 2 Long Range Dual 78 kWh,45900,06.2021,11'500,408,Automatikgetriebe,Elektro,8804 Au-Wädenswil,2023-11-22,POLESTAR ,Polestar ,Polestar 2 ,,FALSE
"107",107,BMW X3 xDrive 30e M Sport,85500,Vorführmodell,4'000,292,Automatikgetriebe,Hybrid,8048 Zürich,2023-11-22,BMW ,X3 ,X3 xDrive ,,FALSE
"108",108,BENTLEY Flying Spur 3.0 V6 Hybrid,199900,05.2022,12'000,544,Automatikgetriebe,Hybrid,8152 Glattpark/Zürich,2023-11-22,BENTLEY ,Flying ,Flying Spur ,,FALSE
"109",109,MERCEDES-BENZ AMG E 53 Limited Silver Black Performance 4Matic+ Speedshift 9G-TCT Aktionleasing ab 799.-,99990,01.2022,20'456,435,Automatikgetriebe,Benzin,8852 Altendorf,2023-11-22,MERCEDES-BENZ ,AMG ,AMG E ,,FALSE
"110",110,ALFA ROMEO TONALE 1.5 Hybrid 130+20 Super 0.9% Zins,37700,Neues Fahrzeug,1,131,Automatikgetriebe,Benzin,8408 Winterthur,2023-11-22,ALFA ,ROMEO ,ROMEO TONALE ,,FALSE
"111",111,ALFA ROMEO STELVIO 2.0 Q4 280 Super Sport Veloce Sky,34890,01.2018,37'900,280,Automatikgetriebe,Benzin,8408 Winterthur,2023-11-22,ALFA ,ROMEO ,ROMEO STELVIO ,,FALSE
"112",112,CITROEN C3 1.2 PureTech Shine,11790,06.2019,87'000,110,Automatikgetriebe,Benzin,8408 Winterthur,2023-11-22,CITROEN ,C3 ,C3 1.2 ,,FALSE
"113",113,VW Touareg 3.0 V6 TDI 262 BMT R-Line 4Motion,39900,12.2016,105'640,262,Automatikgetriebe,Diesel,8500 Frauenfeld,2023-11-22,VW ,Touareg ,Touareg 3.0 ,,FALSE
"114",114,BMW X3 xDrive 48V 20d M Sport,83999,Neues Fahrzeug,21,190,Automatikgetriebe,Diesel,9495 Triesen,2023-11-22,BMW ,X3 ,X3 xDrive ,,FALSE
"115",115,RENAULT Koleos 2.0 dCi Initial Paris 4x4 Xtronic CVT,23900,01.2019,69'450,177,Automatikgetriebe,Diesel,1024 Ecublens,2023-11-22,RENAULT ,Koleos ,Koleos 2.0 ,,FALSE
"116",116,DS AUTOMOBILES DS7 1.5 BlueHDi Bastille+,34890,03.2022,22'470,131,Automatikgetriebe,Diesel,8554 Bonau Wigoltingen,2023-11-22,DS ,AUTOMOBILES ,AUTOMOBILES DS7 ,,FALSE
"117",117,FIAT 500X 1.5 Hybrid 130+20 Sport CH-Auto,33890,Neues Fahrzeug,1,131,Automatikgetriebe,Benzin,8554 Bonau Wigoltingen,2023-11-22,FIAT ,500X ,500X 1.5 ,,FALSE
"118",118,VW T-CROSS 1.0 TSI 115 Life,19490,02.2020,35'000,116,Handschaltung,Benzin,8554 Bonau Wigoltingen,2023-11-22,VW ,T-CROSS ,T-CROSS 1.0 ,,FALSE
"119",119,AUDI SQ5 3.0 TFSI quattro S-tronic,54800,10.2018,38'000,354,Automatikgetriebe,Benzin,6313 Edlibach,2023-11-22,AUDI ,SQ5 ,SQ5 3.0 ,,FALSE
"120",120,BMW X4M xDrive Competition Steptronic,126500,Vorführmodell,4'000,510,Automatikgetriebe,Benzin,8048 Zürich,2023-11-22,BMW ,X4M ,X4M xDrive ,,FALSE
"121",121,BMW M4 Cabrio Competition M xDrive,128900,Neues Fahrzeug,10,510,Automatikgetriebe,Benzin,8048 Zürich,2023-11-22,BMW ,M4 ,M4 Cabrio ,,FALSE
"122",122,BMW X1 xDrive 23d 48V M Sport,69900,Neues Fahrzeug,10,198,Automatikgetriebe,Diesel,8048 Zürich,2023-11-22,BMW ,X1 ,X1 xDrive ,,FALSE
"123",123,VW ID.4 GTX 77 kWh 4Motion,47900,04.2022,28'000,299,Automatikgetriebe,Elektro,8907 Wettswil,2023-11-22,VW ,ID.4 ,ID.4 GTX ,,FALSE
"124",124,VW Taigo 1.0 TSI Style DSG,27900,07.2022,9'000,110,Automatikgetriebe,Benzin,8907 Wettswil,2023-11-22,VW ,Taigo ,Taigo 1.0 ,,FALSE
"125",125,VW T-Roc 2.0 TSI Sport Selection DSG 4Motion,35900,01.2022,23'000,190,Automatikgetriebe,Benzin,8907 Wettswil,2023-11-22,VW ,T-Roc ,T-Roc 2.0 ,,FALSE
"126",126,VW Golf 1.5 eTSI  mHEV ACT R-Line DSG,34900,08.2022,12'000,150,Automatikgetriebe,Benzin,8907 Wettswil,2023-11-22,VW ,Golf ,Golf 1.5 ,,FALSE
"127",127,SKODA Octavia Combi 2.0 TDI Ambition 4x4 DSG,24400,02.2019,79'000,150,Automatikgetriebe,Diesel,8907 Wettswil,2023-11-22,SKODA ,Octavia ,Octavia Combi ,,FALSE
"128",128,SKODA Octavia Combi 2.0 TSI RS DSG,22900,01.2019,116'000,245,Automatikgetriebe,Benzin,8907 Wettswil,2023-11-22,SKODA ,Octavia ,Octavia Combi ,,FALSE
"129",129,OPEL Mokka 1.4T ecoTEC Cosmo,13500,11.2015,96'000,140,Automatikgetriebe,Benzin,1920 Martigny,2023-11-22,OPEL ,Mokka ,Mokka 1.4T ,,FALSE
"130",130,VOLVO XC60 2.0 T6 TE R-Design eAWD,61900,01.2022,24'000,341,Automatikgetriebe,Hybrid,1920 Martigny,2023-11-22,VOLVO ,XC60 ,XC60 2.0 ,,FALSE
"131",131,VOLVO V40 CC 2.0 D2 Plus S/S,18500,07.2016,46'500,120,Automatikgetriebe,Diesel,1920 Martigny,2023-11-22,VOLVO ,V40 ,V40 CC ,,FALSE
"132",132,AUDI A4 Avant 2.0 40 TDI S Line Attraction quattro S-Tronic,39900,09.2020,25'700,190,Automatikgetriebe,Diesel,9320 Arbon ,2023-11-22,AUDI ,A4 ,A4 Avant ,,FALSE
"133",133,AUDI S5 Sportback 3.0 TDI quattro tiptronic *CH-FZ* *Panorama* *Dynamikpaket*,52800,06.2020,98'900,347,Automatikgetriebe,Diesel,8712 Stäfa,2023-11-22,AUDI ,S5 ,S5 Sportback ,,FALSE
