"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"1",1.1,AUDI A5 Cabriolet 3.0 TDI Sport S-tronic quattro,29900,03.2017,74'900,218,Automatikgetriebe,Diesel,9466 Sennwald,2023-11-17,AUDI ,A5 ,A5 Cabriolet ,TRUE,FALSE
"2",1.2,MERCEDES-BENZ GLB 250 AMG Line 4 MATIC,68700,06.2023,3'000,224,Automatikgetriebe,Benzin,3414 Oberburg,2023-11-17,MERCEDES-BENZ ,GLB ,GLB 250 ,TRUE,FALSE
"3",1.3,AUDI TTS Coupé 2.0 TFSI quattro S-Tronic,39990,10.2015,68'700,310,Automatikgetriebe,Benzin,1023 Crissier,2023-11-17,AUDI ,TTS ,TTS Coupé ,TRUE,FALSE
"4",1.4,VW Tiguan 2.0TSI R-Line 4Motion DSG 244 PS,49800,12.2022,19'300,244,Automatikgetriebe,Benzin,8302 Kloten,2023-11-17,VW ,Tiguan ,Tiguan 2.0TSI ,TRUE,FALSE
"5",1.5,SKODA Octavia Combi 2.0 TDI DSG RS 4x4,38800,05.2022,28'400,200,Automatikgetriebe,Diesel,8302 Kloten,2023-11-17,SKODA ,Octavia ,Octavia Combi ,TRUE,FALSE
"6",1.6,SUZUKI JIMNY 1.5 COMPACT+ 4x4 | 2 PLACES | MANUELL,28790,Tageszulassung,1,102,Handschaltung,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,JIMNY ,JIMNY 1.5 ,TRUE,FALSE
"7",1.7,SUZUKI NEW IGNIS 1.2i COMPACT+ HYBRID AUTOMAT,21650,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW IGNIS ,TRUE,FALSE
"8",1.8,SUZUKI NEW IGNIS 1.2i COMPACT+ HYBRID AUTOMAT,21450,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,SUZUKI ,NEW ,NEW IGNIS ,TRUE,FALSE
"9",1.9,SUZUKI NEW IGNIS 1.2i COMPACT TOP HYBRID 4X4,22690,Neues Fahrzeug,1,83,Handschaltung,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW IGNIS ,TRUE,FALSE
"10",1.10,SUZUKI NEW IGNIS 1.2i COMPACT TOP HYBRID 4X4,22690,Neues Fahrzeug,1,83,Handschaltung,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,SUZUKI ,NEW ,NEW IGNIS ,TRUE,FALSE
"11",1.11,SUZUKI SWIFT 1.2i COMPACT TOP HYBRIDE AUTOMATIC,24650,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,SWIFT ,SWIFT 1.2i ,TRUE,FALSE
"12",1.12,SUZUKI SWIFT 1.2i COMPACT TOP HYBRID AUTOMAT,24650,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,SUZUKI ,SWIFT ,SWIFT 1.2i ,TRUE,FALSE
"13",1.13,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"14",1.14,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"15",1.15,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"16",1.16,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21250,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"17",1.17,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21250,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"18",1.18,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRID AUTOMAT,21250,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"19",1.19,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRID AUTOMAT,21490,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"20",1.20,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRID AUTOMAT,21490,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,SUZUKI ,NEW ,NEW SWIFT ,TRUE,FALSE
"21",2.1,VW e-UP * 37 kWh *,15990,07.2020,29'586,82,Automatikgetriebe,Elektro,1122 Romanel-sur-Morges,2023-11-17,VW ,e-UP ,e-UP * ,TRUE,FALSE
"22",2.2,PORSCHE 911 Carrera 4,84000,02.1993,186'500,250,Handschaltung,Benzin,6417 Sattel SZ,2023-11-17,PORSCHE ,911 ,911 Carrera ,TRUE,FALSE
"23",2.3,CITROEN C5 AIRCROSS 1.5 HDi Feel,20900,06.2020,93'000,131,Automatikgetriebe,Diesel,2022 Bevaix,2023-11-17,CITROEN ,C5 ,C5 AIRCROSS ,TRUE,FALSE
"24",2.4,VW Golf VIII 75 Edition 1.5 eTSI R-Line DSG,40950,Neues Fahrzeug,50,150,Automatikgetriebe,Benzin,9500 Wil SG,2023-11-17,VW ,Golf ,Golf VIII ,TRUE,FALSE
"25",2.5,FORD Ranger Raptor 3.0 Eco Boost 4x4 A,69900,03.2023,5'400,292,Automatikgetriebe,Benzin,6030 Ebikon,2023-11-17,FORD ,Ranger ,Ranger Raptor ,TRUE,FALSE
"26",2.6,BMW iX xDrive40,84999,07.2023,3'000,327,Automatikgetriebe,Elektro,4147 Aesch,2023-11-17,BMW ,iX ,iX ,TRUE,FALSE
"27",2.7,HONDA CR-V 2.0 4WD Black Edition,17900,12.2013,89'000,155,Handschaltung,Benzin,7000 Chur,2023-11-17,HONDA ,CR-V ,CR-V 2.0 ,TRUE,FALSE
"28",2.8,HYUNDAI Tucson 2.0 CRDI N-Line Mild Hybrid 4WD Automatic,36900,10.2020,33'400,185,Automatikgetriebe,Diesel,1400 Yverdon-les-Bains,2023-11-17,HYUNDAI ,Tucson ,Tucson 2.0 ,TRUE,FALSE
"29",2.9,BMW 225xe iPerformance Active Tourer Steptronic Luxury Line,22500,06.2019,43'500,224,Automatikgetriebe,Hybrid,6331 Hünenberg,2023-11-17,BMW ,225xe ,225xe iPerformance ,TRUE,FALSE
"30",2.10,MAZDA 3 2.0 16V Revolution Activematic,13900,09.2015,91'000,120,Automatikgetriebe,Benzin,1131 Tolochenaz / Morges,2023-11-17,MAZDA ,3 ,3 2.0 ,TRUE,FALSE
"31",2.11,AUDI Q3 40 TDI quattro S-tronic,27990,06.2019,95'700,190,Automatikgetriebe,Diesel,8164 Bachs,2023-11-17,AUDI ,Q3 ,Q3 40 ,TRUE,FALSE
"32",2.12,BMW M240i xDrive Steptronic Saphirschwarz Metallic,57540,01.2022,11'500,374,Automatikgetriebe,Benzin,5634 Merenschwand,2023-11-17,BMW ,M240i ,M240i xDrive ,TRUE,FALSE
"33",2.13,AUDI RS3 Sportback 2.5 TSI Performance quattro S-tronic,99300,04.2023,3'000,407,Automatikgetriebe,Benzin,1095 Lutry,2023-11-17,AUDI ,RS3 ,RS3 Sportback ,TRUE,FALSE
"34",2.14,VW T6.1 Multivan 2.0 Bi-TDI Highline Liberty 4Mot. DSG,93800,Tageszulassung,100,204,Automatikgetriebe,Diesel,9535 Wilen bei Wil,2023-11-17,VW ,T6.1 ,T6.1 Multivan ,TRUE,FALSE
"35",2.15,VW T6 Multivan 2.0 Bi-TDI Highline Liberty 4Mot. DSG,44800,12.2015,158'200,204,Automatikgetriebe,Diesel,9535 Wilen bei Wil,2023-11-17,VW ,T6 ,T6 Multivan ,TRUE,FALSE
"36",2.16,MERCEDES-BENZ GLC 400 e AMG Line 4Matic Coupé,99100,Neues Fahrzeug,20,387,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLC ,GLC 400 ,TRUE,FALSE
"37",2.17,MERCEDES-BENZ GLC 300 de AMG Line 4Matic Coupé,98800,Neues Fahrzeug,1,333,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLC ,GLC 300 ,TRUE,FALSE
"38",2.18,MERCEDES-BENZ GLC 300 e AMG Line 4Matic Coupé,97000,Neues Fahrzeug,20,340,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLC ,GLC 300 ,TRUE,FALSE
"39",2.19,MERCEDES-BENZ C 300 de AMG Line 4Matic Kombi,81200,Neues Fahrzeug,10,326,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,C ,C 300 ,TRUE,FALSE
"40",2.20,MERCEDES-BENZ C 300 AMG Line 4Matic Kombi,74400,Neues Fahrzeug,20,258,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,C ,C 300 ,TRUE,FALSE
"41",3.1,MERCEDES-BENZ GLA 200 AMG Line,62600,Neues Fahrzeug,20,163,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLA ,GLA 200 ,TRUE,FALSE
"42",3.2,MERCEDES-BENZ GLA 200 AMG Line,63900,Neues Fahrzeug,20,177,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLA ,GLA 200 ,TRUE,FALSE
"43",3.3,MERCEDES-BENZ GLC 300 e AMG Line 4Matic Coupé,97800,Neues Fahrzeug,20,340,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLC ,GLC 300 ,TRUE,FALSE
"44",3.4,BMW X5 xDrive M50d Steptronic,68900,03.2019,84'900,400,Automatikgetriebe,Diesel,8155 Niederhasli,2023-11-17,BMW ,X5 ,X5 xDrive ,TRUE,FALSE
"45",3.5,PEUGEOT 2008 1.2 PureTech Allure EAT6,13500,09.2017,86'200,110,Automatikgetriebe,Benzin,6852 Genestrerio,2023-11-17,PEUGEOT ,2008 ,2008 1.2 ,TRUE,FALSE
"46",3.6,MERCEDES-BENZ A AMG 45 S 4Matic+ 8G-DCT,94720,Neues Fahrzeug,10,421,Automatikgetriebe,Benzin,3930 Visp,2023-11-17,MERCEDES-BENZ ,A ,A AMG ,TRUE,FALSE
"47",3.7,MERCEDES-BENZ EQA 350 Swiss Star AMG Line 4Matic,67100,Neues Fahrzeug,20,292,Automatikgetriebe,Elektro,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,EQA ,EQA 350 ,TRUE,FALSE
"48",3.8,MERCEDES-BENZ EQA 300 Swiss Star AMG Line 4Matic,66100,Neues Fahrzeug,20,228,Automatikgetriebe,Elektro,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,EQA ,EQA 300 ,TRUE,FALSE
"49",3.9,MERCEDES-BENZ A 180 AMG Line,49600,Neues Fahrzeug,20,136,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,A ,A 180 ,TRUE,FALSE
"50",3.10,MERCEDES-BENZ GLS 450 AMG Line 4Matic,134200,Neues Fahrzeug,20,401,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLS ,GLS 450 ,TRUE,FALSE
"51",3.11,MERCEDES-BENZ C 220 d Swiss Star AMG Line 4Matic Kombi,70700,Neues Fahrzeug,1,200,Automatikgetriebe,Diesel,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,C ,C 220 ,TRUE,FALSE
"52",3.12,MERCEDES-BENZ GLB 35 AMG 4Matic,75500,Neues Fahrzeug,20,320,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLB ,GLB 35 ,TRUE,FALSE
"53",3.13,MERCEDES-BENZ GLB 35 AMG 4Matic,76600,Neues Fahrzeug,20,306,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-17,MERCEDES-BENZ ,GLB ,GLB 35 ,TRUE,FALSE
"54",3.14,MERCEDES-BENZ EQA 250 AMG Line,62900,Neues Fahrzeug,20,190,Automatikgetriebe,Elektro,8305 Dietlikon,2023-11-17,MERCEDES-BENZ ,EQA ,EQA 250 ,TRUE,FALSE
"55",3.15,MINI Cooper S Resolute Edition,47800,Neues Fahrzeug,50,178,Handschaltung,Benzin,6500 Bellinzona,2023-11-17,MINI ,Cooper ,Cooper S ,TRUE,FALSE
"56",3.16,BMW X5 xDrive45e M Sport Steptronic,79900,11.2022,26'500,394,Automatikgetriebe,Hybrid,6500 Bellinzona,2023-11-17,BMW ,X5 ,X5 xDrive45e ,TRUE,FALSE
"57",3.17,MINI Cooper Camden Edition Steptronic DKG,32300,Neues Fahrzeug,10,136,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-17,MINI ,Cooper ,Cooper Camden ,TRUE,FALSE
"58",3.18,MINI Cooper S Steptronic DKG,41800,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-17,MINI ,Cooper ,Cooper S ,TRUE,FALSE
"59",3.19,SKODA Enyaq 80x RS iV,64900,Neues Fahrzeug,100,299,Automatikgetriebe,Elektro,7500 St.Moritz,2023-11-17,SKODA ,Enyaq ,Enyaq 80x ,TRUE,FALSE
"60",3.20,MINI Cooper S Resolute Edition Steptronic DKG,46200,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-17,MINI ,Cooper ,Cooper S ,TRUE,FALSE
"61",4.1,AUDI A4 Avant 45 TFSI Sport S-tronic quattro,40000,12.2019,66'000,245,Automatikgetriebe,Benzin,8370 Sirnach,2023-11-17,AUDI ,A4 ,A4 Avant ,TRUE,FALSE
"62",4.2,OPEL Astra GTC 2.0i 16V Turbo OPC,38500,01.2018,16'000,280,Handschaltung,Benzin,5430 Wettingen,2023-11-17,OPEL ,Astra ,Astra GTC ,TRUE,FALSE
"63",4.3,BMW 216d Active Tourer Steptronic,13900,02.2016,133'000,116,Automatikgetriebe,Diesel,1297 Founex,2023-11-17,BMW ,216d ,216d Active ,TRUE,FALSE
"64",4.4,PUCH PUCH GE 230,29900,05.1995,78'900,116,Automatikgetriebe,Benzin,8274 Tägerwilen,2023-11-17,PUCH ,PUCH ,PUCH GE ,TRUE,FALSE
"65",4.5,VW Scirocco 2.0 TSI DSG,15900,02.2011,69'000,255,Automatikgetriebe,Benzin,7015 Tamins,2023-11-17,VW ,Scirocco ,Scirocco 2.0 ,TRUE,FALSE
"66",4.6,VW T6.1 Caravelle 2.0 TDI Highline DSG,65000,05.2022,18'000,150,Automatikgetriebe,Diesel,3284 Fräschels,2023-11-17,VW ,T6.1 ,T6.1 Caravelle ,TRUE,FALSE
"67",4.7,MERCEDES-BENZ C 300 d AMG Line Cabriolet 9G-Tronic,49990,08.2019,32'000,245,Automatikgetriebe,Diesel,9000 St Gallen,2023-11-17,MERCEDES-BENZ ,C ,C 300 ,TRUE,FALSE
"68",4.8,JEEP Jeep CJ-7 Renegade V8 B/C Automatic,42000,10.1978,52'000,120,Automatikgetriebe,Benzin,6900 Lugano,2023-11-17,JEEP ,Jeep ,Jeep CJ-7 ,TRUE,FALSE
"69",4.9,PLYMOUTH P20 DeLuxe,27500,06.1952,85'000,97,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-17,PLYMOUTH ,P20 ,P20 ,TRUE,FALSE
"70",4.10,FIAT 500L,22800,09.1971,86'000,18,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-17,FIAT ,"","",TRUE,FALSE
"71",4.11,CUPRA LEON ST 1.4 e-HYBRID pHEV VZ DSG,50600,Vorführmodell,4'000,245,Automatikgetriebe,Hybrid,5417 Untersiggenthal,2023-11-17,CUPRA ,LEON ,LEON ST ,TRUE,FALSE
"72",4.12,VW ID.3 PA Pro S Tour (ED),54800,Neues Fahrzeug,25,204,Automatikgetriebe,Elektro,8754 Netstal,2023-11-17,VW ,ID.3 ,ID.3 PA ,TRUE,FALSE
"73",4.13,"HONDA Ny1 Advance, Leasing Aktion ab 0.99 % inkl. Winterräder",48480,Neues Fahrzeug,10,204,Automatikgetriebe,Elektro,8112 Otelfingen,2023-11-17,HONDA ,Ny1 ,"Ny1 Advance, ",TRUE,FALSE
"74",4.14,MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT,25990,07.2013,90'000,360,Automatikgetriebe,Benzin,8494 Bauma,2023-11-17,MERCEDES-BENZ ,A ,A 45 ,TRUE,FALSE
"75",4.15,VOLVO XC60 B4 Diesel Mild Hybrid AWD Ultimate Dark Geartronic,78630,Neues Fahrzeug,30,197,Automatikgetriebe,Diesel,9500 Wil,2023-11-17,VOLVO ,XC60 ,XC60 B4 ,TRUE,FALSE
"76",4.16,RENAULT Clio 2.0 16V Sport,4500,07.2007,251'000,197,Handschaltung,Benzin,9535 Wilen bei Wil,2023-11-17,RENAULT ,Clio ,Clio 2.0 ,TRUE,FALSE
"77",4.17,BENTLEY Continental GT Speed 6.0 W12,119900,10.2015,51'000,635,Automatikgetriebe,Benzin,9466 Sennwald,2023-11-17,BENTLEY ,Continental ,Continental GT ,TRUE,FALSE
"78",4.18,FIAT Panda 0.9 Twinair Turbo 4x40 4x4,25490,Neues Fahrzeug,100,85,Handschaltung,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-17,FIAT ,Panda ,Panda 0.9 ,TRUE,FALSE
"79",4.19,MERCEDES-BENZ GLA 250 4Matic 8G-DCT,74100,Neues Fahrzeug,100,224,Automatikgetriebe,Benzin,9050 Appenzell,2023-11-17,MERCEDES-BENZ ,GLA ,GLA 250 ,TRUE,FALSE
"80",4.20,SKODA Fabia 1.5 TSI Style DSG,28500,Vorführmodell,1'500,150,Automatikgetriebe,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-17,SKODA ,Fabia ,Fabia 1.5 ,TRUE,FALSE
"81",5.1,BMW X5 xDrive M50d Steptronic,50000,04.2016,89'000,381,Automatikgetriebe,Diesel,8134 Adliswil,2023-11-17,BMW ,X5 ,X5 xDrive ,TRUE,FALSE
"82",5.2,BENTLEY 1952 Bentley MK VI HJ Mulliner Lightweight,148000,01.1952,58'000,0,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-17,BENTLEY ,1952 ,1952 Bentley ,TRUE,FALSE
"83",5.3,FORD 1914 Model T Depot Hack,59900,06.1914,16'000,20,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-17,FORD ,1914 ,1914 Model ,TRUE,FALSE
"84",5.4,JAGUAR SS1,119000,06.1934,100,75,Handschaltung,Benzin,6300 Zug,2023-11-17,JAGUAR ,"","",TRUE,FALSE
"85",5.5,AUDI A3 Sedan 1.4 TFSI Attraction,37900,10.2014,146'000,125,Handschaltung,Benzin,8104 Weiningen,2023-11-17,AUDI ,A3 ,A3 Sedan ,TRUE,FALSE
"86",5.6,PORSCHE Taycan Turbo S,179900,10.2020,17'000,761,,Elektro,8610 Uster,2023-11-17,PORSCHE ,Taycan ,Taycan Turbo ,TRUE,FALSE
"87",5.7,AUDI 200 Turbo 20V quattro,25000,09.1989,159'500,220,Handschaltung,Benzin,7303 Mastrils,2023-11-17,AUDI ,200 ,200 Turbo ,TRUE,FALSE
"88",5.8,VW Typ vw31-1500s,21999,11.1965,73'000,0,Handschaltung,Benzin,4313 Möhlin,2023-11-17,VW ,Typ ,Typ ,TRUE,FALSE
"89",5.9,ASTON MARTIN DB9 Volante Touchtronic 2,73500,08.2007,49'000,457,Automatikgetriebe,Benzin,8004 Zurich,2023-11-17,ASTON ,MARTIN ,MARTIN DB9 ,TRUE,FALSE
"90",5.10,INFINITI FX30d GT Premium AWD Automatic,12000,08.2011,160'000,238,Automatikgetriebe,Diesel,1018 Lausanne,2023-11-17,INFINITI ,FX30d ,FX30d GT ,TRUE,FALSE
"91",5.11,VW T-Cross 1.5 TSI Style DSG,28900,04.2021,49'500,150,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-17,VW ,T-Cross ,T-Cross 1.5 ,TRUE,FALSE
"92",5.12,SKODA Kamiq 1.0 TSI Monte Carlo DSG,27900,07.2021,36'500,110,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-17,SKODA ,Kamiq ,Kamiq 1.0 ,TRUE,FALSE
"93",5.13,AUDI A3 Sportback 1.5 35 TFSI S Line S-Tronic,39900,05.2022,14'900,150,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-17,AUDI ,A3 ,A3 Sportback ,TRUE,FALSE
"94",5.14,TOYOTA Auris 1.8 16V HSD Linea Luna,11950,12.2013,136'797,136,Automatikgetriebe,Hybrid,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,TOYOTA ,Auris ,Auris 1.8 ,TRUE,FALSE
"95",5.15,PORSCHE 911 GT3 Touring,238800,Neues Fahrzeug,10,510,Handschaltung,Benzin,8370 Sirnach (TG) an der Autobahn A1 ,2023-11-17,PORSCHE ,911 ,911 GT3 ,TRUE,FALSE
"96",5.16,LAND ROVER RANGE ROVER EVOQUE,32800,01.2017,113'900,241,Automatikgetriebe,Benzin,8370 Sirnach (TG) an der Autobahn A1 ,2023-11-17,LAND ,ROVER ,ROVER RANGE ,TRUE,FALSE
"97",5.17,TOYOTA Yaris 1.5 VVT-i Hybrid Y20 e-CVT,18850,09.2019,32'670,101,Automatikgetriebe,Hybrid,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,TOYOTA ,Yaris ,Yaris 1.5 ,TRUE,FALSE
"98",5.18,KIA Stonic 1.0 T-GDI Power,20950,05.2022,19'051,101,Handschaltung,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-17,KIA ,Stonic ,Stonic 1.0 ,TRUE,FALSE
"99",5.19,BMW X3 xDrive 30i xLine,39900,03.2019,58'300,252,Automatikgetriebe,Benzin,6340 Baar,2023-11-17,BMW ,X3 ,X3 xDrive ,TRUE,FALSE
"100",5.20,BMW i5 M60 xDrive M Sport Pro,124710,Neues Fahrzeug,5,601,Automatikgetriebe,Elektro,8134 Adliswil,2023-11-17,BMW ,i5 ,i5 M60 ,TRUE,FALSE
"101",6.1,VW Golf Cabriolet 1800 Classic-Line Leder,33560,06.1991,129'800,98,Handschaltung,Benzin,6930 Bedano,2023-11-17,VW ,Golf ,Golf Cabriolet ,TRUE,FALSE
"102",6.2,JEEP Cherokee 3.2 Trailhawk AWD 9ATX,26900,03.2018,41'600,272,Automatikgetriebe,Benzin,8460 Marthalen,2023-11-17,JEEP ,Cherokee ,Cherokee 3.2 ,TRUE,FALSE
"103",6.3,"ROLLS-ROYCE Silver Spirit Veteran, 2. Hand Top gepflegt, Schmohl Auslieferung",32900,06.1987,107'800,250,Automatikgetriebe,Benzin,8712 Stäfa,2023-11-17,ROLLS-ROYCE ,Silver ,Silver Spirit ,TRUE,FALSE
"104",6.4,MINI Countryman Cooper S ALL4 Steptronic,28000,07.2017,55'000,192,Automatikgetriebe,Benzin,1950 Sion,2023-11-17,MINI ,Countryman ,Countryman Cooper ,TRUE,FALSE
"105",6.5,BUICK GS 350,64000,01.1972,71'000,195,Automatikgetriebe,Benzin,8600 Dübendorf,2023-11-17,BUICK ,GS ,GS ,TRUE,FALSE
"106",6.6,LANCIA GAMMA Coupé Boxer 2500,7500,04.1979,82'000,140,Handschaltung,Benzin,8340 Hinwil,2023-11-17,LANCIA ,GAMMA ,GAMMA Coupé ,TRUE,FALSE
"107",6.7,"MERCEDES-BENZ CLA 220 Diesel, AMG Line",29999,04.2018,110'000,177,Automatikgetriebe,Diesel,3063 Ittigen,2023-11-17,MERCEDES-BENZ ,CLA ,CLA 220 ,TRUE,FALSE
"108",6.8,AUDI RS6 plus Avant quattro tiptronic,67800,09.2004,155'000,480,Automatikgetriebe,Benzin,5506 Mägenwil,2023-11-17,AUDI ,RS6 ,RS6 plus ,TRUE,FALSE
"109",6.9,ALFA ROMEO Sprint Bertone,47000,01.1961,74'000,0,,Benzin,4148 Pfeffingen,2023-11-17,ALFA ,ROMEO ,ROMEO Sprint ,TRUE,FALSE
"110",6.10,FIAT Coupé 2.0 20V,6800,06.1999,102'000,155,Handschaltung,Benzin,1258 Perly,2023-11-17,FIAT ,Coupé ,Coupé 2.0 ,TRUE,FALSE
"111",6.11,PEUGEOT 2008 1.5 BlueHDi 130 GT,31900,03.2023,15'600,130,Automatikgetriebe,Diesel,4704 Niederbipp,2023-11-17,PEUGEOT ,2008 ,2008 1.5 ,TRUE,FALSE
"112",6.12,VW Passat Variant 2.0 TDI BMT Comfortline DSG,17800,12.2017,122'400,150,Automatikgetriebe,Diesel,8302 Kloten,2023-11-17,VW ,Passat ,Passat Variant ,TRUE,FALSE
