"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"6750",6750,MERCEDES-BENZ GLS 450 AMG Line 4Matic,134200,Neues Fahrzeug,20,401,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLS ,GLS 450 ,,FALSE
"6751",6751,MERCEDES-BENZ C 220 d Swiss Star AMG Line 4Matic Kombi,70700,Neues Fahrzeug,1,200,Automatikgetriebe,Diesel,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,C ,C 220 ,,FALSE
"6752",6752,MERCEDES-BENZ GLB 35 AMG 4Matic,75500,Neues Fahrzeug,20,320,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLB ,GLB 35 ,,FALSE
"6753",6753,MERCEDES-BENZ GLB 35 AMG 4Matic,76600,Neues Fahrzeug,20,306,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLB ,GLB 35 ,,FALSE
"6754",6754,MERCEDES-BENZ EQA 250 AMG Line,62900,Neues Fahrzeug,20,190,Automatikgetriebe,Elektro,8305 Dietlikon,2023-11-18,MERCEDES-BENZ ,EQA ,EQA 250 ,,FALSE
"6755",6755,MINI Cooper S Resolute Edition,47800,Neues Fahrzeug,50,178,Handschaltung,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper S ,,FALSE
"6756",6756,BMW X5 xDrive45e M Sport Steptronic,79900,11.2022,26'500,394,Automatikgetriebe,Hybrid,6500 Bellinzona,2023-11-18,BMW ,X5 ,X5 xDrive45e ,,FALSE
"6757",6757,MINI Cooper Camden Edition Steptronic DKG,32300,Neues Fahrzeug,10,136,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper Camden ,,FALSE
"6758",6758,MINI Cooper S Steptronic DKG,41800,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper S ,,FALSE
"6759",6759,SKODA Enyaq 80x RS iV,64900,Neues Fahrzeug,100,299,Automatikgetriebe,Elektro,7500 St.Moritz,2023-11-18,SKODA ,Enyaq ,Enyaq 80x ,,FALSE
"6760",6760,MINI Cooper S Resolute Edition Steptronic DKG,46200,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper S ,,FALSE
"6761",6761,AUDI A4 Avant 45 TFSI Sport S-tronic quattro,40000,12.2019,66'000,245,Automatikgetriebe,Benzin,8370 Sirnach,2023-11-18,AUDI ,A4 ,A4 Avant ,,FALSE
