"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"1",1,AUDI A5 Cabriolet 3.0 TDI Sport S-tronic quattro,29900,03.2017,74'900,218,Automatikgetriebe,Diesel,9466 Sennwald,2023-11-18,AUDI ,A5 ,A5 Cabriolet ,,FALSE
"2",2,MERCEDES-BENZ GLB 250 AMG Line 4 MATIC,68700,06.2023,3'000,224,Automatikgetriebe,Benzin,3414 Oberburg,2023-11-18,MERCEDES-BENZ ,GLB ,GLB 250 ,,FALSE
"3",3,AUDI TTS Coupé 2.0 TFSI quattro S-Tronic,39990,10.2015,68'700,310,Automatikgetriebe,Benzin,1023 Crissier,2023-11-18,AUDI ,TTS ,TTS Coupé ,,FALSE
"4",4,VW Tiguan 2.0TSI R-Line 4Motion DSG 244 PS,49800,12.2022,19'300,244,Automatikgetriebe,Benzin,8302 Kloten,2023-11-18,VW ,Tiguan ,Tiguan 2.0TSI ,,FALSE
"5",5,SKODA Octavia Combi 2.0 TDI DSG RS 4x4,38800,05.2022,28'400,200,Automatikgetriebe,Diesel,8302 Kloten,2023-11-18,SKODA ,Octavia ,Octavia Combi ,,FALSE
"6",6,SUZUKI JIMNY 1.5 COMPACT+ 4x4 | 2 PLACES | MANUELL,28790,Tageszulassung,1,102,Handschaltung,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,JIMNY ,JIMNY 1.5 ,,FALSE
"7",7,SUZUKI NEW IGNIS 1.2i COMPACT+ HYBRID AUTOMAT,21650,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"8",8,SUZUKI NEW IGNIS 1.2i COMPACT+ HYBRID AUTOMAT,21450,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"9",9,SUZUKI NEW IGNIS 1.2i COMPACT TOP HYBRID 4X4,22690,Neues Fahrzeug,1,83,Handschaltung,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"10",10,SUZUKI NEW IGNIS 1.2i COMPACT TOP HYBRID 4X4,22690,Neues Fahrzeug,1,83,Handschaltung,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"11",11,SUZUKI SWIFT 1.2i COMPACT TOP HYBRIDE AUTOMATIC,24650,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,SWIFT ,SWIFT 1.2i ,,FALSE
"12",12,SUZUKI SWIFT 1.2i COMPACT TOP HYBRID AUTOMAT,24650,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,SWIFT ,SWIFT 1.2i ,,FALSE
"13",13,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"14",14,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"15",15,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"16",16,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21250,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"17",17,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21250,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"18",18,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRID AUTOMAT,21250,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"19",19,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRID AUTOMAT,21490,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"20",20,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRID AUTOMAT,21490,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"21",21,VW e-UP * 37 kWh *,15990,07.2020,29'586,82,Automatikgetriebe,Elektro,1122 Romanel-sur-Morges,2023-11-18,VW ,e-UP ,e-UP * ,,FALSE
"22",22,PORSCHE 911 Carrera 4,84000,02.1993,186'500,250,Handschaltung,Benzin,6417 Sattel SZ,2023-11-18,PORSCHE ,911 ,911 Carrera ,,FALSE
"23",23,CITROEN C5 AIRCROSS 1.5 HDi Feel,20900,06.2020,93'000,131,Automatikgetriebe,Diesel,2022 Bevaix,2023-11-18,CITROEN ,C5 ,C5 AIRCROSS ,,FALSE
"24",24,VW Golf VIII 75 Edition 1.5 eTSI R-Line DSG,40950,Neues Fahrzeug,50,150,Automatikgetriebe,Benzin,9500 Wil SG,2023-11-18,VW ,Golf ,Golf VIII ,,FALSE
"25",25,FORD Ranger Raptor 3.0 Eco Boost 4x4 A,69900,03.2023,5'400,292,Automatikgetriebe,Benzin,6030 Ebikon,2023-11-18,FORD ,Ranger ,Ranger Raptor ,,FALSE
"26",26,BMW iX xDrive40,84999,07.2023,3'000,327,Automatikgetriebe,Elektro,4147 Aesch,2023-11-18,BMW ,iX ,iX ,,FALSE
"27",27,HONDA CR-V 2.0 4WD Black Edition,17900,12.2013,89'000,155,Handschaltung,Benzin,7000 Chur,2023-11-18,HONDA ,CR-V ,CR-V 2.0 ,,FALSE
"28",28,HYUNDAI Tucson 2.0 CRDI N-Line Mild Hybrid 4WD Automatic,36900,10.2020,33'400,185,Automatikgetriebe,Diesel,1400 Yverdon-les-Bains,2023-11-18,HYUNDAI ,Tucson ,Tucson 2.0 ,,FALSE
"29",29,BMW 225xe iPerformance Active Tourer Steptronic Luxury Line,22500,06.2019,43'500,224,Automatikgetriebe,Hybrid,6331 Hünenberg,2023-11-18,BMW ,225xe ,225xe iPerformance ,,FALSE
"30",30,MAZDA 3 2.0 16V Revolution Activematic,13900,09.2015,91'000,120,Automatikgetriebe,Benzin,1131 Tolochenaz / Morges,2023-11-18,MAZDA ,3 ,3 2.0 ,,FALSE
"31",31,AUDI Q3 40 TDI quattro S-tronic,27990,06.2019,95'700,190,Automatikgetriebe,Diesel,8164 Bachs,2023-11-18,AUDI ,Q3 ,Q3 40 ,,FALSE
"32",32,BMW M240i xDrive Steptronic Saphirschwarz Metallic,57540,01.2022,11'500,374,Automatikgetriebe,Benzin,5634 Merenschwand,2023-11-18,BMW ,M240i ,M240i xDrive ,,FALSE
"33",33,AUDI RS3 Sportback 2.5 TSI Performance quattro S-tronic,99300,04.2023,3'000,407,Automatikgetriebe,Benzin,1095 Lutry,2023-11-18,AUDI ,RS3 ,RS3 Sportback ,,FALSE
"34",34,VW T6.1 Multivan 2.0 Bi-TDI Highline Liberty 4Mot. DSG,93800,Tageszulassung,100,204,Automatikgetriebe,Diesel,9535 Wilen bei Wil,2023-11-18,VW ,T6.1 ,T6.1 Multivan ,,FALSE
"35",35,VW T6 Multivan 2.0 Bi-TDI Highline Liberty 4Mot. DSG,44800,12.2015,158'200,204,Automatikgetriebe,Diesel,9535 Wilen bei Wil,2023-11-18,VW ,T6 ,T6 Multivan ,,FALSE
"36",36,MERCEDES-BENZ GLC 400 e AMG Line 4Matic Coupé,99100,Neues Fahrzeug,20,387,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLC ,GLC 400 ,,FALSE
"37",37,MERCEDES-BENZ GLC 300 de AMG Line 4Matic Coupé,98800,Neues Fahrzeug,1,333,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLC ,GLC 300 ,,FALSE
"38",38,MERCEDES-BENZ GLC 300 e AMG Line 4Matic Coupé,97000,Neues Fahrzeug,20,340,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLC ,GLC 300 ,,FALSE
"39",39,MERCEDES-BENZ C 300 de AMG Line 4Matic Kombi,81200,Neues Fahrzeug,10,326,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,C ,C 300 ,,FALSE
"40",40,MERCEDES-BENZ C 300 AMG Line 4Matic Kombi,74400,Neues Fahrzeug,20,258,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,C ,C 300 ,,FALSE
"41",41,MERCEDES-BENZ GLA 200 AMG Line,62600,Neues Fahrzeug,20,163,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLA ,GLA 200 ,,FALSE
"42",42,MERCEDES-BENZ GLA 200 AMG Line,63900,Neues Fahrzeug,20,177,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLA ,GLA 200 ,,FALSE
"43",43,MERCEDES-BENZ GLC 300 e AMG Line 4Matic Coupé,97800,Neues Fahrzeug,20,340,Automatikgetriebe,Hybrid,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLC ,GLC 300 ,,FALSE
"44",44,BMW X5 xDrive M50d Steptronic,68900,03.2019,84'900,400,Automatikgetriebe,Diesel,8155 Niederhasli,2023-11-18,BMW ,X5 ,X5 xDrive ,,FALSE
"45",45,PEUGEOT 2008 1.2 PureTech Allure EAT6,13500,09.2017,86'200,110,Automatikgetriebe,Benzin,6852 Genestrerio,2023-11-18,PEUGEOT ,2008 ,2008 1.2 ,,FALSE
"46",46,MERCEDES-BENZ A AMG 45 S 4Matic+ 8G-DCT,94720,Neues Fahrzeug,10,421,Automatikgetriebe,Benzin,3930 Visp,2023-11-18,MERCEDES-BENZ ,A ,A AMG ,,FALSE
"47",47,MERCEDES-BENZ EQA 350 Swiss Star AMG Line 4Matic,67100,Neues Fahrzeug,20,292,Automatikgetriebe,Elektro,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,EQA ,EQA 350 ,,FALSE
"48",48,MERCEDES-BENZ EQA 300 Swiss Star AMG Line 4Matic,66100,Neues Fahrzeug,20,228,Automatikgetriebe,Elektro,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,EQA ,EQA 300 ,,FALSE
"49",49,MERCEDES-BENZ A 180 AMG Line,49600,Neues Fahrzeug,20,136,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,A ,A 180 ,,FALSE
"50",50,MERCEDES-BENZ GLS 450 AMG Line 4Matic,134200,Neues Fahrzeug,20,401,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLS ,GLS 450 ,,FALSE
"51",51,MERCEDES-BENZ C 220 d Swiss Star AMG Line 4Matic Kombi,70700,Neues Fahrzeug,1,200,Automatikgetriebe,Diesel,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,C ,C 220 ,,FALSE
"52",52,MERCEDES-BENZ GLB 35 AMG 4Matic,75500,Neues Fahrzeug,20,320,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLB ,GLB 35 ,,FALSE
"53",53,MERCEDES-BENZ GLB 35 AMG 4Matic,76600,Neues Fahrzeug,20,306,Automatikgetriebe,Benzin,5430 Wettingen,2023-11-18,MERCEDES-BENZ ,GLB ,GLB 35 ,,FALSE
"54",54,MERCEDES-BENZ EQA 250 AMG Line,62900,Neues Fahrzeug,20,190,Automatikgetriebe,Elektro,8305 Dietlikon,2023-11-18,MERCEDES-BENZ ,EQA ,EQA 250 ,,FALSE
"55",55,MINI Cooper S Resolute Edition,47800,Neues Fahrzeug,50,178,Handschaltung,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper S ,,FALSE
"56",56,BMW X5 xDrive45e M Sport Steptronic,79900,11.2022,26'500,394,Automatikgetriebe,Hybrid,6500 Bellinzona,2023-11-18,BMW ,X5 ,X5 xDrive45e ,,FALSE
"57",57,MINI Cooper Camden Edition Steptronic DKG,32300,Neues Fahrzeug,10,136,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper Camden ,,FALSE
"58",58,MINI Cooper S Steptronic DKG,41800,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper S ,,FALSE
"59",59,SKODA Enyaq 80x RS iV,64900,Neues Fahrzeug,100,299,Automatikgetriebe,Elektro,7500 St.Moritz,2023-11-18,SKODA ,Enyaq ,Enyaq 80x ,,FALSE
"60",60,MINI Cooper S Resolute Edition Steptronic DKG,46200,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,6500 Bellinzona,2023-11-18,MINI ,Cooper ,Cooper S ,,FALSE
"61",61,AUDI A4 Avant 45 TFSI Sport S-tronic quattro,40000,12.2019,66'000,245,Automatikgetriebe,Benzin,8370 Sirnach,2023-11-18,AUDI ,A4 ,A4 Avant ,,FALSE
"62",62,OPEL Astra GTC 2.0i 16V Turbo OPC,38500,01.2018,16'000,280,Handschaltung,Benzin,5430 Wettingen,2023-11-18,OPEL ,Astra ,Astra GTC ,,FALSE
"63",63,BMW 216d Active Tourer Steptronic,13900,02.2016,133'000,116,Automatikgetriebe,Diesel,1297 Founex,2023-11-18,BMW ,216d ,216d Active ,,FALSE
"64",64,PUCH PUCH GE 230,29900,05.1995,78'900,116,Automatikgetriebe,Benzin,8274 Tägerwilen,2023-11-18,PUCH ,PUCH ,PUCH GE ,,FALSE
"65",65,VW Scirocco 2.0 TSI DSG,15900,02.2011,69'000,255,Automatikgetriebe,Benzin,7015 Tamins,2023-11-18,VW ,Scirocco ,Scirocco 2.0 ,,FALSE
"66",66,VW T6.1 Caravelle 2.0 TDI Highline DSG,65000,05.2022,18'000,150,Automatikgetriebe,Diesel,3284 Fräschels,2023-11-18,VW ,T6.1 ,T6.1 Caravelle ,,FALSE
"67",67,MERCEDES-BENZ C 300 d AMG Line Cabriolet 9G-Tronic,49990,08.2019,32'000,245,Automatikgetriebe,Diesel,9000 St Gallen,2023-11-18,MERCEDES-BENZ ,C ,C 300 ,,FALSE
"68",68,JEEP Jeep CJ-7 Renegade V8 B/C Automatic,42000,10.1978,52'000,120,Automatikgetriebe,Benzin,6900 Lugano,2023-11-18,JEEP ,Jeep ,Jeep CJ-7 ,,FALSE
"69",69,PLYMOUTH P20 DeLuxe,27500,06.1952,85'000,97,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,PLYMOUTH ,P20 ,P20 ,,FALSE
"70",70,FIAT 500L,22800,09.1971,86'000,18,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,FIAT ,"","",,FALSE
"71",71,CUPRA LEON ST 1.4 e-HYBRID pHEV VZ DSG,50600,Vorführmodell,4'000,245,Automatikgetriebe,Hybrid,5417 Untersiggenthal,2023-11-18,CUPRA ,LEON ,LEON ST ,,FALSE
"72",72,VW ID.3 PA Pro S Tour (ED),54800,Neues Fahrzeug,25,204,Automatikgetriebe,Elektro,8754 Netstal,2023-11-18,VW ,ID.3 ,ID.3 PA ,,FALSE
"73",73,"HONDA Ny1 Advance, Leasing Aktion ab 0.99 % inkl. Winterräder",48480,Neues Fahrzeug,10,204,Automatikgetriebe,Elektro,8112 Otelfingen,2023-11-18,HONDA ,Ny1 ,"Ny1 Advance, ",,FALSE
"74",74,MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT,25990,07.2013,90'000,360,Automatikgetriebe,Benzin,8494 Bauma,2023-11-18,MERCEDES-BENZ ,A ,A 45 ,,FALSE
"75",75,VOLVO XC60 B4 Diesel Mild Hybrid AWD Ultimate Dark Geartronic,78630,Neues Fahrzeug,30,197,Automatikgetriebe,Diesel,9500 Wil,2023-11-18,VOLVO ,XC60 ,XC60 B4 ,,FALSE
"76",76,RENAULT Clio 2.0 16V Sport,4500,07.2007,251'000,197,Handschaltung,Benzin,9535 Wilen bei Wil,2023-11-18,RENAULT ,Clio ,Clio 2.0 ,,FALSE
"77",77,BENTLEY Continental GT Speed 6.0 W12,119900,10.2015,51'000,635,Automatikgetriebe,Benzin,9466 Sennwald,2023-11-18,BENTLEY ,Continental ,Continental GT ,,FALSE
"78",78,FIAT Panda 0.9 Twinair Turbo 4x40 4x4,25490,Neues Fahrzeug,100,85,Handschaltung,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-18,FIAT ,Panda ,Panda 0.9 ,,FALSE
"79",79,MERCEDES-BENZ GLA 250 4Matic 8G-DCT,74100,Neues Fahrzeug,100,224,Automatikgetriebe,Benzin,9050 Appenzell,2023-11-18,MERCEDES-BENZ ,GLA ,GLA 250 ,,FALSE
"80",80,SKODA Fabia 1.5 TSI Style DSG,28500,Vorführmodell,1'500,150,Automatikgetriebe,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-18,SKODA ,Fabia ,Fabia 1.5 ,,FALSE
"81",81,BMW X5 xDrive M50d Steptronic,50000,04.2016,89'000,381,Automatikgetriebe,Diesel,8134 Adliswil,2023-11-18,BMW ,X5 ,X5 xDrive ,,FALSE
"82",82,BENTLEY 1952 Bentley MK VI HJ Mulliner Lightweight,148000,01.1952,58'000,0,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,BENTLEY ,1952 ,1952 Bentley ,,FALSE
"83",83,FORD 1914 Model T Depot Hack,59900,06.1914,16'000,20,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,FORD ,1914 ,1914 Model ,,FALSE
"84",84,JAGUAR SS1,119000,06.1934,100,75,Handschaltung,Benzin,6300 Zug,2023-11-18,JAGUAR ,"","",,FALSE
"85",85,AUDI A3 Sedan 1.4 TFSI Attraction,37900,10.2014,146'000,125,Handschaltung,Benzin,8104 Weiningen,2023-11-18,AUDI ,A3 ,A3 Sedan ,,FALSE
"86",86,PORSCHE Taycan Turbo S,179900,10.2020,17'000,761,"",Elektro,8610 Uster,2023-11-18,PORSCHE ,Taycan ,Taycan Turbo ,,FALSE
"87",87,AUDI 200 Turbo 20V quattro,25000,09.1989,159'500,220,Handschaltung,Benzin,7303 Mastrils,2023-11-18,AUDI ,200 ,200 Turbo ,,FALSE
"88",88,VW Typ vw31-1500s,21999,11.1965,73'000,0,Handschaltung,Benzin,4313 Möhlin,2023-11-18,VW ,Typ ,Typ ,,FALSE
"89",89,ASTON MARTIN DB9 Volante Touchtronic 2,73500,08.2007,49'000,457,Automatikgetriebe,Benzin,8004 Zurich,2023-11-18,ASTON ,MARTIN ,MARTIN DB9 ,,FALSE
"90",90,INFINITI FX30d GT Premium AWD Automatic,12000,08.2011,160'000,238,Automatikgetriebe,Diesel,1018 Lausanne,2023-11-18,INFINITI ,FX30d ,FX30d GT ,,FALSE
"91",91,VW T-Cross 1.5 TSI Style DSG,28900,04.2021,49'500,150,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-18,VW ,T-Cross ,T-Cross 1.5 ,,FALSE
"92",92,SKODA Kamiq 1.0 TSI Monte Carlo DSG,27900,07.2021,36'500,110,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-18,SKODA ,Kamiq ,Kamiq 1.0 ,,FALSE
"93",93,AUDI A3 Sportback 1.5 35 TFSI S Line S-Tronic,39900,05.2022,14'900,150,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-18,AUDI ,A3 ,A3 Sportback ,,FALSE
"94",94,TOYOTA Auris 1.8 16V HSD Linea Luna,11950,12.2013,136'797,136,Automatikgetriebe,Hybrid,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,TOYOTA ,Auris ,Auris 1.8 ,,FALSE
"95",95,PORSCHE 911 GT3 Touring,238800,Neues Fahrzeug,10,510,Handschaltung,Benzin,8370 Sirnach (TG) an der Autobahn A1,2023-11-18,PORSCHE ,911 ,911 GT3 ,,FALSE
"96",96,LAND ROVER RANGE ROVER EVOQUE,32800,01.2017,113'900,241,Automatikgetriebe,Benzin,8370 Sirnach (TG) an der Autobahn A1,2023-11-18,LAND ,ROVER ,ROVER RANGE ,,FALSE
"97",97,TOYOTA Yaris 1.5 VVT-i Hybrid Y20 e-CVT,18850,09.2019,32'670,101,Automatikgetriebe,Hybrid,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,TOYOTA ,Yaris ,Yaris 1.5 ,,FALSE
"98",98,KIA Stonic 1.0 T-GDI Power,20950,05.2022,19'051,101,Handschaltung,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,KIA ,Stonic ,Stonic 1.0 ,,FALSE
"99",99,BMW X3 xDrive 30i xLine,39900,03.2019,58'300,252,Automatikgetriebe,Benzin,6340 Baar,2023-11-18,BMW ,X3 ,X3 xDrive ,,FALSE
"100",100,BMW i5 M60 xDrive M Sport Pro,124710,Neues Fahrzeug,5,601,Automatikgetriebe,Elektro,8134 Adliswil,2023-11-18,BMW ,i5 ,i5 M60 ,,FALSE
"101",101,VW Golf Cabriolet 1800 Classic-Line Leder,33560,06.1991,129'800,98,Handschaltung,Benzin,6930 Bedano,2023-11-18,VW ,Golf ,Golf Cabriolet ,,FALSE
"102",102,JEEP Cherokee 3.2 Trailhawk AWD 9ATX,26900,03.2018,41'600,272,Automatikgetriebe,Benzin,8460 Marthalen,2023-11-18,JEEP ,Cherokee ,Cherokee 3.2 ,,FALSE
"103",103,"ROLLS-ROYCE Silver Spirit Veteran, 2. Hand Top gepflegt, Schmohl Auslieferung",32900,06.1987,107'800,250,Automatikgetriebe,Benzin,8712 Stäfa,2023-11-18,ROLLS-ROYCE ,Silver ,Silver Spirit ,,FALSE
"104",104,MINI Countryman Cooper S ALL4 Steptronic,28000,07.2017,55'000,192,Automatikgetriebe,Benzin,1950 Sion,2023-11-18,MINI ,Countryman ,Countryman Cooper ,,FALSE
"105",105,BUICK GS 350,64000,01.1972,71'000,195,Automatikgetriebe,Benzin,8600 Dübendorf,2023-11-18,BUICK ,GS ,GS ,,FALSE
"106",106,LANCIA GAMMA Coupé Boxer 2500,7500,04.1979,82'000,140,Handschaltung,Benzin,8340 Hinwil,2023-11-18,LANCIA ,GAMMA ,GAMMA Coupé ,,FALSE
"107",107,"MERCEDES-BENZ CLA 220 Diesel, AMG Line",29999,04.2018,110'000,177,Automatikgetriebe,Diesel,3063 Ittigen,2023-11-18,MERCEDES-BENZ ,CLA ,CLA 220 ,,FALSE
"108",108,AUDI RS6 plus Avant quattro tiptronic,67800,09.2004,155'000,480,Automatikgetriebe,Benzin,5506 Mägenwil,2023-11-18,AUDI ,RS6 ,RS6 plus ,,FALSE
"109",109,ALFA ROMEO Sprint Bertone,47000,01.1961,74'000,0,"",Benzin,4148 Pfeffingen,2023-11-18,ALFA ,ROMEO ,ROMEO Sprint ,,FALSE
"110",110,FIAT Coupé 2.0 20V,6800,06.1999,102'000,155,Handschaltung,Benzin,1258 Perly,2023-11-18,FIAT ,Coupé ,Coupé 2.0 ,,FALSE
"111",111,PEUGEOT 2008 1.5 BlueHDi 130 GT,31900,03.2023,15'600,130,Automatikgetriebe,Diesel,4704 Niederbipp,2023-11-18,PEUGEOT ,2008 ,2008 1.5 ,,FALSE
"112",112,VW Passat Variant 2.0 TDI BMT Comfortline DSG,17800,12.2017,122'400,150,Automatikgetriebe,Diesel,8302 Kloten,2023-11-18,VW ,Passat ,Passat Variant ,,FALSE
"113",113,CHEVROLET Camaro 6.2 50th Ann. Ed.,48500,05.2017,19'900,461,Automatikgetriebe,Benzin,8051 Zürich,2023-11-18,CHEVROLET ,Camaro ,Camaro 6.2 ,,FALSE
"114",114,SKODA Octavia Combi 2.0 TDI RS 4x4 DSG,17900,11.2016,155'500,184,Automatikgetriebe,Diesel,6030 Ebikon,2023-11-18,SKODA ,Octavia ,Octavia Combi ,,FALSE
"115",115,SUZUKI Swift 1.2 Compact Top 4x4 Hybrid,25900,Neues Fahrzeug,25,83,Handschaltung,Benzin,1217 MEYRIN / GENEVE,2023-11-18,SUZUKI ,Swift ,Swift 1.2 ,,FALSE
"116",116,VOLVO XC40 E80 Twin Ultimate AWD,69370,Neues Fahrzeug,50,408,Automatikgetriebe,Elektro,8913 Ottenbach,2023-11-18,VOLVO ,XC40 ,XC40 E80 ,,FALSE
"117",117,BMW 730d xDrive Steptronic * M-Sport *,44900,01.2018,85'000,265,Automatikgetriebe,Diesel,7000 Chur,2023-11-18,BMW ,730d ,730d xDrive ,,FALSE
"118",118,BENTLEY Continental GT 4.0 V8 Mulliner,69900,04.2013,83'000,507,Automatikgetriebe,Benzin,7000 Chur,2023-11-18,BENTLEY ,Continental ,Continental GT ,,FALSE
"119",119,BMW 218d xDrive Gran Tourer Steptronic 7-PLÄTZER,26900,04.2021,43'900,150,Automatikgetriebe,Diesel,8305 Dietlikon,2023-11-18,BMW ,218d ,218d xDrive ,,FALSE
"120",120,RENAULT Zoe R135 (incl. Batterie) Iconic,31800,Tageszulassung,100,136,Automatikgetriebe,Elektro,6208 Oberkirch,2023-11-18,RENAULT ,Zoe ,Zoe R135 ,,FALSE
"121",121,FIAT Uno 1.4 i.e. Turbo,21000,04.1993,93'000,112,Handschaltung,Benzin,6807 Taverne,2023-11-18,FIAT ,Uno ,Uno 1.4 ,,FALSE
"122",122,TVR Griffith V8 5.0,52000,08.1998,84'000,327,Handschaltung,Benzin,8309 Nürensdorf,2023-11-18,TVR ,Griffith ,Griffith V8 ,,FALSE
"123",123,SUBARU BRZ 2.0R,27200,03.2013,56'900,280,Handschaltung,Benzin,8570 Weinfelden,2023-11-18,SUBARU ,BRZ ,BRZ ,,FALSE
"124",124,BMW 135i Coupé,38000,08.2009,101'000,306,Handschaltung,Benzin,6951 Signöra,2023-11-18,BMW ,135i ,135i ,,FALSE
"125",125,MERCEDES-BENZ 280 SE 3.5 V8,350000,01.1969,71'310,200,Automatikgetriebe,Benzin,1202 Genève,2023-11-18,MERCEDES-BENZ ,280 ,280 SE ,,FALSE
"126",126,AUDI 200 Turbo quattro,24900,05.1988,142'000,200,Handschaltung,Benzin,7276 Davos Frauenkirch,2023-11-18,AUDI ,200 ,200 Turbo ,,FALSE
"127",127,FERRARI 458 Speciale 4.5 V8,405458,04.2014,15'800,600,Automatikgetriebe,Benzin,6900 Lugano,2023-11-18,FERRARI ,458 ,458 Speciale ,,FALSE
"128",128,JEEP Compass 1.4 Turbo Limited AWD 9ATX,28000,03.2019,34'000,170,Automatikgetriebe,Benzin,1950 Sion,2023-11-18,JEEP ,Compass ,Compass 1.4 ,,FALSE
"129",129,PORSCHE 356 SC,140000,01.1963,46'800,90,Handschaltung,Benzin,7000 Chur,2023-11-18,PORSCHE ,356 ,356 ,,FALSE
